Displayed, Input, Time to enter, Type of distractor, Match
FJO,FJO,1877,No Distractor,True
DOKKUXVTS,DOKKUVHTS,3227,Text Distractor,False
SFQ,SFQ,956,Colour Box Distractor,True
QWOSLODCB,QWOSLDBS,3587,No Distractor,False
XYMBRRE,XYMBRFE,3213,No Distractor,False
FIKCE,FIKCE,1898,Text Distractor,True
GPKY,GPKY,1053,Text Distractor,True
CHOSZE,CHOSZE,2479,No Distractor,True
SECYK,SECYK,2200,No Distractor,True
XEDNAA,XEDNAA,2045,Colour Box Distractor,True
GINM,GINM,888,No Distractor,True
EYLZTRA,EYLZTRA,3100,Text Distractor,True
TZGEMKYL,TZKGEMYL,3375,Colour Box Distractor,False
QLDQLH,QLDQHQ,2796,Text Distractor,False
XOF,XOF,1137,Text Distractor,True
POOQM,POOQM,1801,Colour Box Distractor,True
VLRWVRJS,VYLRKQS,3119,No Distractor,False
ZDBOTMLE,ZBOMLTE,3000,Text Distractor,False
FLHICAKUA,FLHICQKE,3366,Colour Box Distractor,False
IQVW,IQVW,1917,Colour Box Distractor,True
HVTVUEV,HTKEUWV,2907,Colour Box Distractor,False
