Displayed, Input, Time to enter, Type of distractor, Match
VLVDE,VLDE,5547,Colour Box Distractor,False
NRVNTAF,NFTVR,9521,No Distractor,False
HHP,HHP,1992,No Distractor,True
LTSKPYXVZ,LTSKPV,3431,Colour Box Distractor,False
YGGJJT,YJJGT,3810,Text Distractor,False
UTMZ,UTMZ,2848,Text Distractor,True
UHVXIOXY,UHVYIOX,4199,Colour Box Distractor,False
FKXJTXS,FXXJS,2627,Colour Box Distractor,False
XPO,XPO,1571,Text Distractor,True
ABCUEMYGB,ABCED,2760,Text Distractor,False
GJXJJP,GJXYP,3688,No Distractor,False
RMSI,RMSI,1174,No Distractor,True
FEXEGX,FEXGE,2725,Colour Box Distractor,False
PDE,PDE,1172,Colour Box Distractor,True
TBAKYAZJ,TBAKAJ,2715,Text Distractor,False
ZSLGJYO,ZLSO,2518,Text Distractor,False
XMPKW,XMPV,1733,Text Distractor,False
XEDXMLJF,XEDXV,2816,No Distractor,False
GYQW,QYQW,3083,Colour Box Distractor,False
TSGRV,TSGRV,3228,No Distractor,True
VWQXPMTCG,VWQX,4788,No Distractor,False
